key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19100612-PCLOAK-PCLSFS-2,Pacific Coast League,1910-06-12,2,1910-SFE,Oakland,a,2.0,San Francisco,h,1.0,final,
19100612-PCLSAC-PCLVER-1,Pacific Coast League,1910-06-12,1,1910-SFE,Sacramento,a,5.0,Vernon,h,5.0,final,
19100612-PCLSAC-PCLVER-2,Pacific Coast League,1910-06-12,2,1910-SFE,Sacramento,a,2.0,Vernon,h,4.0,final,
19100613-PCLSAC-PCLVER-0,Pacific Coast League,1910-06-13,0,1910-LAH,Sacramento,a,2,Vernon,h,4,final,
19100614-PCLLAA-PCLSFS-0,Pacific Coast League,1910-06-14,0,1910-SFE,Los Angeles,a,1.0,San Francisco,h,0.0,final,
19100614-PCLOAK-PCLSAC-0,Pacific Coast League,1910-06-14,0,1910-SFE,Oakland,a,3.0,Sacramento,h,0.0,final,
19100615-PCLLAA-PCLSFS-0,Pacific Coast League,1910-06-15,0,1910-SFE,Los Angeles,a,3.0,San Francisco,h,5.0,final,
19100615-PCLOAK-PCLSAC-0,Pacific Coast League,1910-06-15,0,1910-SFE,Oakland,a,0.0,Sacramento,h,1.0,final,
19100615-PCLOAK-PCLSAC-0,Pacific Coast League,1910-06-15,0,1910-SFE,Oakland,a,0.0,Sacramento,h,1.0,final,
19100615-PCLPOR-PCLVER-0,Pacific Coast League,1910-06-15,0,1910-SFE,Portland,a,5.0,Vernon,h,0.0,final,
19100615-PCLPOR-PCLVER-0,Pacific Coast League,1910-06-15,0,1910-SFE,Portland,a,5.0,Vernon,h,0.0,final,
19100616-PCLLAA-PCLSFS-0,Pacific Coast League,1910-06-16,0,1910-SFE,Los Angeles,a,2.0,San Francisco,h,1.0,final,
19100616-PCLPOR-PCLVER-0,Pacific Coast League,1910-06-16,0,1910-SFE,Portland,a,0.0,Vernon,h,6.0,final,
19100617-PCLLAA-PCLSFS-0,Pacific Coast League,1910-06-17,0,1910-SFE,Los Angeles,a,3.0,San Francisco,h,5.0,final,
19100617-PCLOAK-PCLSAC-0,Pacific Coast League,1910-06-17,0,1910-SFE,Oakland,a,1.0,Sacramento,h,3.0,final,
