league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Buckeye League,P0914271,Chapman,,Findlay,1915-05-27,1915-06-10,3,0,3,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P9952848,Clark,,Lima,1915-05-21,1915-06-05,6,5,0,0,0,0,0,0,0,0,0,5
1915,Buckeye League,P6824533,Clarke,,Lima,1915-05-27,1915-05-27,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P2293320,Conner,,Canton,1915-06-04,1915-06-04,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P2418378,Connor,,Akron,1915-05-28,1915-05-28,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P6079890,Connor,,Canton,1915-06-09,1915-06-09,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P8643453,Connors,,Akron,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P1507365,Connors,,Canton,1915-06-06,1915-06-06,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P4341068,Costello,,Findlay,1915-05-27,1915-06-10,3,0,0,0,0,0,3,0,3,0,0,0
1915,Buckeye League,P7942124,Cronin,,Lima,1915-06-05,1915-06-06,3,0,0,0,0,3,0,0,0,0,0,0
1915,Buckeye League,P6548509,Curtis,,Canton,1915-05-23,1915-05-25,2,0,0,0,0,0,2,0,1,1,0,0
1915,Buckeye League,P6220053,Daugherty,,Newark,1915-06-06,1915-06-06,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P9231393,Day,,Canton,1915-05-23,1915-05-25,2,0,0,0,0,0,2,2,0,0,0,0
1915,Buckeye League,P1190154,Dillon,,Newark,1915-05-19,1915-06-05,5,5,0,0,0,0,0,0,0,0,0,5
1915,Buckeye League,P6136777,Donaldson,,Findlay,1915-05-19,1915-06-10,4,1,0,0,0,0,3,0,0,3,0,1
1915,Buckeye League,P6546915,Dougherty,,Newark,1915-05-19,1915-06-04,5,5,0,0,0,0,0,0,0,0,0,5
1915,Buckeye League,P6491087,Drake,,Newark,1915-05-25,1915-06-10,4,4,0,0,0,0,0,0,0,0,0,4
1915,Buckeye League,P2790114,Egan,,Findlay,1915-06-10,1915-06-10,1,0,0,0,1,0,0,0,0,0,0,0
1915,Buckeye League,P8252162,Feech,,Findlay,1915-06-06,1915-06-06,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P1385099,Field,,Findlay,1915-05-30,1915-06-10,2,0,0,0,0,0,0,0,0,0,2,0
1915,Buckeye League,P3379614,Fields,,Findlay,1915-05-27,1915-06-06,5,0,0,0,0,0,0,0,0,0,5,0
