league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Blue Ridge League,P4052062,Cook,,Hagerstown,1915-06-21,1915-08-09,41,0,0,0,0,0,41,0,0,41,0,0
1915,Blue Ridge League,P3320195,Cotter,,Hagerstown,1915-06-05,1915-07-01,6,6,0,0,0,0,0,0,0,0,0,6
1915,Blue Ridge League,P7079406,Coyle,,Hagerstown,1915-06-17,1915-06-17,1,0,0,0,0,0,1,0,0,1,0,0
1915,Blue Ridge League,P5724479,Coyle,,Hanover,1915-05-29,1915-06-12,3,0,0,0,0,1,2,0,0,2,0,0
1915,Blue Ridge League,P2880283,Crawford,,Hanover,1915-06-17,1915-08-25,12,0,0,0,0,0,12,0,0,12,0,0
1915,Blue Ridge League,P9485441,Daley,,Hagerstown,1915-05-27,1915-06-08,7,0,0,0,0,0,7,7,0,0,0,0
1915,Blue Ridge League,P7145781,Davis,,Martinsburg,1915-05-28,1915-05-31,4,0,0,0,0,0,4,0,4,0,0,0
1915,Blue Ridge League,P7459702,Deal,,Gettysburg,1915-07-08,1915-07-27,4,0,4,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P8273130,Dean,,Hagerstown,1915-05-27,1915-08-25,68,0,0,0,66,1,1,1,1,0,0,0
1915,Blue Ridge League,P9239247,Doeppe,,Hagerstown,1915-05-31,1915-08-25,19,0,2,1,0,0,1,0,0,1,14,0
1915,Blue Ridge League,P0244416,Dolan,,Hagerstown,1915-05-27,1915-06-12,12,0,12,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2787619,Donnelly,,Martinsburg,1915-06-07,1915-07-20,5,0,5,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2128429,Donnolly,,Martinsburg,1915-06-23,1915-08-04,6,0,5,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2349199,Dorner,,Chambersburg,1915-06-10,1915-08-26,3,3,0,0,0,0,0,0,0,0,0,3
1915,Blue Ridge League,P5807661,Douglas,,Martinsburg,1915-07-14,1915-08-23,3,3,0,0,0,0,0,0,0,0,0,3
1915,Blue Ridge League,P4410336,Douglass,,Martinsburg,1915-07-09,1915-08-25,8,7,0,0,0,0,1,0,1,0,0,7
1915,Blue Ridge League,P6584164,Dougless,,Martinsburg,1915-08-14,1915-08-14,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P1368238,Dove,,Gettysburg,1915-07-02,1915-07-07,3,0,0,3,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2211372,Dove,,Martinsburg,1915-05-29,1915-05-31,3,0,0,2,0,0,1,1,0,0,0,0
1915,Blue Ridge League,P4290586,Dunn,,Chambersburg,1915-05-27,1915-08-26,13,1,3,8,0,0,1,1,0,0,0,1
1915,Blue Ridge League,P1451734,Durbarrow,,Martinsburg,1915-06-26,1915-06-26,1,0,0,0,0,0,1,0,1,0,0,0
1915,Blue Ridge League,P1623474,Durborow,,Martinsburg,1915-06-24,1915-06-25,2,0,0,0,0,0,2,0,2,0,0,0
1915,Blue Ridge League,P6997156,Durborrow,,Martinsburg,1915-06-23,1915-08-11,9,0,0,0,0,0,9,0,1,8,0,0
1915,Blue Ridge League,P6375488,Eilor,,Chambersburg,1915-05-27,1915-05-28,2,0,0,0,2,0,0,0,0,0,0,0
1915,Blue Ridge League,P9305695,Eldridge,,Frederick,1915-07-24,1915-08-18,6,6,0,0,0,0,0,0,0,0,0,6
1915,Blue Ridge League,P4676848,Eline,,Hanover,1915-05-29,1915-07-29,10,0,0,1,9,0,0,0,0,0,0,0
1915,Blue Ridge League,P8050719,Fox,,Hagerstown,1915-06-12,1915-06-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P1118055,Frances,,Chambersburg,1915-06-21,1915-06-21,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P3291883,Francis,,Chambersburg,1915-05-27,1915-07-06,3,0,0,3,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P1906080,Freeney,,Hagerstown,1915-06-26,1915-08-16,7,0,7,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2534811,Freeny,,Hagerstown,1915-06-21,1915-08-25,43,0,42,0,1,0,1,0,1,0,0,0
1915,Blue Ridge League,P9526885,Fuhrey,,Hagerstown,1915-05-27,1915-08-25,67,0,0,0,0,67,0,0,0,0,0,0
1915,Blue Ridge League,P5074162,G. Johnson,,Martinsburg,1915-06-05,1915-06-05,1,0,0,0,0,0,0,0,0,0,1,0
1915,Blue Ridge League,P0104632,Gary,,Chambersburg,1915-06-15,1915-06-15,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P5866299,Gobel,,Hagerstown,1915-06-23,1915-06-23,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P4497563,Goble,,Hagerstown,1915-06-25,1915-06-25,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P5036712,Goldstein,,Frederick,1915-07-24,1915-07-24,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,P5745240,Gray,,Chambersburg,1915-05-31,1915-06-05,3,3,0,0,0,0,0,0,0,0,0,3
1915,Blue Ridge League,P0490673,Green,,Gettysburg,1915-06-10,1915-06-10,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P5403717,Greenwell,,Gettysburg,1915-07-06,1915-08-25,18,16,0,0,0,0,1,1,0,0,0,16
1915,Blue Ridge League,P2542397,Grotey,,Hanover,1915-06-12,1915-07-10,4,0,0,0,0,4,0,0,0,0,0,0
1915,Blue Ridge League,P6453968,Grotsey,,Hanover,1915-06-11,1915-06-11,1,0,0,0,0,1,0,0,0,0,0,0
1915,Blue Ridge League,P4414435,Grove,,Gettysburg,1915-06-07,1915-06-07,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P2808673,Hagar,,Martinsburg,1915-05-28,1915-05-31,2,0,0,0,0,0,2,0,0,2,0,0
1915,Blue Ridge League,P5298789,Hager,,Martinsburg,1915-05-29,1915-05-31,2,0,0,0,0,0,2,0,0,2,0,0
1915,Blue Ridge League,P0558801,Hagey,,Hanover,1915-05-29,1915-05-29,1,0,0,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,P0684257,Hall,,Gettysburg,1915-06-09,1915-07-08,5,0,0,2,2,0,1,0,1,0,0,0
1915,Blue Ridge League,P7587140,Hall,,Hanover,1915-08-25,1915-08-25,2,1,0,0,0,1,1,1,0,0,0,1
1915,Blue Ridge League,P5579335,Hanks,,Hagerstown,1915-08-07,1915-08-25,9,1,4,0,0,0,4,3,0,1,0,1
1915,Blue Ridge League,P3584728,Hayes,,Martinsburg,1915-05-31,1915-08-11,14,0,0,0,0,14,0,0,0,0,0,0
1915,Blue Ridge League,P5221467,Heavner,,Hagerstown,1915-05-31,1915-07-17,11,9,0,0,0,0,1,0,0,1,0,9
1915,Blue Ridge League,P0492820,Herr,,Hanover,1915-06-17,1915-06-17,1,0,1,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P8017506,Herrel,,Gettysburg,1915-06-14,1915-07-02,2,2,0,0,0,0,0,0,0,0,0,2
1915,Blue Ridge League,P2861012,Herrel,,Hagerstown,1915-05-31,1915-05-31,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P9096974,Herrell,,Gettysburg,1915-06-11,1915-08-23,13,8,0,0,0,0,5,0,0,5,0,8
1915,Blue Ridge League,P3940480,Herrell,,Hagerstown,1915-06-07,1915-06-08,2,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P0435739,Hershey,,Hanover,1915-06-11,1915-06-12,2,0,0,0,0,0,2,2,0,0,0,0
1915,Blue Ridge League,P2598399,Hevener,,Hagerstown,1915-05-27,1915-06-07,2,2,0,0,0,0,0,0,0,0,0,2
1915,Blue Ridge League,P5664489,Hill,,Gettysburg,1915-07-07,1915-07-07,1,0,0,1,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P3768586,Hoar,,Gettysburg,1915-06-09,1915-06-09,1,1,0,0,0,0,1,0,0,1,0,1
1915,Blue Ridge League,P4472496,Hoeffecker,,Martinsburg,1915-06-09,1915-07-26,5,5,0,0,0,0,0,0,0,0,0,5
1915,Blue Ridge League,P8396263,Hoffacker,,Martinsburg,1915-06-05,1915-06-05,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P3407492,Hoffaker,,Martinsburg,1915-05-28,1915-05-31,2,2,0,0,0,0,0,0,0,0,0,2
1915,Blue Ridge League,P5694955,Hoffecker,,Martinsburg,1915-06-08,1915-08-19,7,7,0,0,0,0,0,0,0,0,0,7
1915,Blue Ridge League,P9673978,Hoffoecker,,Martinsburg,1915-08-09,1915-08-09,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P3684458,Hoke,,Hanover,1915-05-29,1915-05-29,1,0,0,0,0,1,0,0,0,0,0,0
