team.league,team.key,team.name,source,key,gloss.name.last,gloss.name.first,person.name.last,person.name.first,person.seq,pos
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120426-TXOBON-TXOGVL-0,,,Lambert,,a02,cf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120427-TXOBON-TXOGVL-0,,,Lambert,,a02,cf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120429-TXOBON-TXOMCK-0,,,Lambert,,b02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120430-TXOBON-TXOMCK-0,,,Lambert,,b02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120501-TXOBON-TXOMCK-0,,,Lambert,,b02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120502-TXOBON-TXODEN-0,,,Lambert,,a02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120503-TXOBON-TXODEN-0,,,Lambert,,a02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120504-TXOBON-TXODEN-0,,,Lambert,,a02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120505-TXOBON-TXODEN-0,,,Lambert,,a02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120506-TXOBON-TXOGVL-0,,,Lambert,,b02,cf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120507-TXOBON-TXOGVL-0,,,Lambert,,b02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120508-TXOBON-TXOGVL-0,,,Lambert,,b02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120509-TXOBON-TXOGVL-0,,,Lambert,,b02,rf
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120425-TXOBON-TXOGVL-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120426-TXOBON-TXOGVL-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120427-TXOBON-TXOGVL-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120429-TXOBON-TXOMCK-0,,,Landry,,b05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120430-TXOBON-TXOMCK-0,,,Landry,,b05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120501-TXOBON-TXOMCK-0,,,Landry,,b05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120502-TXOBON-TXODEN-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120503-TXOBON-TXODEN-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120504-TXOBON-TXODEN-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120505-TXOBON-TXODEN-0,,,Landry,,a05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120506-TXOBON-TXOGVL-0,,,Landry,,b05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120507-TXOBON-TXOGVL-0,,,Landry,,b05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120508-TXOBON-TXOGVL-0,,,Landry,,b05,ss
Texas-Oklahoma League,TXOBON,Bonham,1912-DMN,19120509-TXOBON-TXOGVL-0,,,Landry,,b05,ss
