key,date,number,league,away,away.score,home,home.score,A,T,status,status-reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
e5e8ee9b-0424-5fb2-8856-f9c5c1757762,1915-06-10,0,Buckeye,Findlay,8,Marion,4,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 11, 1915",0,0,0,0,0,0,2,6,0,,,,,,,,0,0,2,1,0,1,0,0,0,,,,,,,
6470050f-ada5-5068-af5b-cff51ed4b85c,1915-06-10,0,Buckeye,Akron,8,Newark,5,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 11, 1915",0,3,0,0,1,0,2,2,0,,,,,,,,0,0,3,0,1,0,0,1,0,,,,,,,
a3c685b4-c8fb-5647-8ff3-affa1bae8974,1915-06-11,0,Buckeye,Canton,4,Lima,2,,1:55,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 12, 1915",2,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,1,0,0,0,1,0,,,,,,,
4e266387-033b-5bc2-9a06-5767d996149f,1915-06-11,0,Buckeye,Findlay,,Marion,,,,postponed,wet grounds & Marion insolvency,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c6c805d-44e6-54de-b1a7-99e431ee96bc,1915-06-11,0,Buckeye,Akron,,Newark,,,,postponed,wet grounds,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6d320dd9-ef9d-5295-8873-52fcae96fb01,1915-06-12,0,Buckeye,Findlay,3,Lima,4,,2:15,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 13, 1915",0,2,0,0,0,0,0,0,1,0,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,
fd5449c2-34b7-5d62-b7ca-58d479f69db6,1915-06-12,0,Buckeye,Akron,,Newark,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 13, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a885139-7041-561b-82ad-12479f61987c,1915-06-14,0,Buckeye,Newark,,Akron,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 15, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e94d8e6-125d-5750-9ccd-1718cdb91772,1915-06-14,0,Buckeye,Lima,7,Findlay,2,,2:25,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 15, 1915",0,0,0,4,1,2,0,0,0,,,,,,,,0,0,0,0,0,2,0,0,0,,,,,,,
9ab794e9-4d0a-5c12-b553-d0910dabcd32,1915-06-15,0,Buckeye,Newark,,Akron,,,,postponed,wet grounds,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 16, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83e5887d-3e2d-5567-b29d-a6645d64d66e,1915-06-15,0,Buckeye,Lima,2,Findlay,11,,2:00,,,transcript/1915/1915-LDN/boxes/BUCK-19150609.txt,"Lima Daily News, June 16, 1915",0,0,0,1,1,0,0,0,0,,,,,,,,0,6,0,0,1,1,0,3,x,,,,,,,
a45dc4ef-f490-5728-911f-f3bfa1a273b9,1915-06-16,0,Buckeye,Newark,4,Akron,3,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 17, 1915",0,0,2,0,0,0,2,0,0,,,,,,,,0,0,0,1,0,1,1,0,0,,,,,,,
772d4401-9720-5e43-a551-cdd525f3cd3a,1915-06-16,0,Buckeye,Lima,4,Findlay,8,500,2:10,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 17, 1915",2,0,1,0,1,0,0,0,0,,,,,,,,0,0,0,1,2,4,1,0,x,,,,,,,
2dfb4244-b89e-5c5d-b016-b94fb363304a,1915-06-17,0,Buckeye,Lima,7,Akron,6,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 18, 1915",0,0,0,0,3,3,0,0,0,0,1,,,,,,0,0,0,0,3,0,2,1,0,0,0,,,,,
aad59c00-4a52-551d-a6e4-908af075e41e,1915-06-17,0,Buckeye,Newark,0,Findlay,7,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 18, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,0,0,0,5,x,,,,,,,
fba7a591-cee6-50f8-9215-e85b333d59f8,1915-06-18,0,Buckeye,Lima,2,Akron,1,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 19, 1915",0,0,0,0,0,0,0,0,2,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,
05397421-f29c-56fa-bc39-94628e2bab50,1915-06-18,0,Buckeye,Newark,,Findlay,,,,postponed,wet grounds,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 19, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8dbc3ff4-694a-5fd8-9d81-8277895607f2,1915-06-19,0,Buckeye,Lima,2,Akron,5,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 20, 1915",0,0,0,0,0,0,1,0,1,,,,,,,,1,0,0,1,0,1,2,0,x,,,,,,,
bf884181-2d48-5bf0-aeeb-2b97fad981e4,1915-06-19,1,Buckeye,Newark,,Findlay,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 20, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de9c9ce6-571f-503c-baa6-1e0836dd78c7,1915-06-19,2,Buckeye,Newark,,Findlay,,,,postponed,called to catch train,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 20, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc94ac57-e58d-5df3-87d3-74b21c7a2ce3,1915-06-20,1,Buckeye,Findlay,3,Akron,9,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 21, 1915",0,0,0,2,1,0,0,0,0,,,,,,,,2,0,2,0,1,0,3,1,x,,,,,,,
5026de3d-6a03-50db-a502-d26e5964db00,1915-06-20,2,Buckeye,Findlay,0,Akron,3,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 21, 1915",0,0,0,0,0,0,0,,,,,,,,,,2,0,0,0,0,1,x,,,,,,,,,
ba8ab63f-9115-5094-b617-9aad684fbf50,1915-06-20,1,Buckeye,Lima,7,Newark,3,1000,2:10,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 21, 1915",0,0,4,0,2,0,0,0,1,,,,,,,,0,0,0,0,1,1,1,0,0,,,,,,,
5d79e4c5-c910-5ac1-8fdf-18ec5d4690ca,1915-06-20,2,Buckeye,Lima,4,Newark,3,,1:35,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 21, 1915",0,1,1,1,1,0,0,,,,,,,,,,0,0,2,0,1,0,0,,,,,,,,,
a0444670-86e8-572f-8b04-8c16af9d96fe,1915-06-22,0,Buckeye,Akron,18,Lima,6,,1:55,,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 23, 1915",1,3,0,0,3,0,4,1,6,,,,,,,,0,6,0,0,0,0,0,0,0,,,,,,,
66880deb-d868-5186-ba30-23b50823d221,1915-06-22,0,Buckeye,Findlay,,Newark,,,,postponed,,transcript/1915/1915-LDN/boxes/BUCK-19150616.txt,"Lima Daily News, June 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02bd3188-2758-5111-a035-bbf3bed6fb77,1915-06-23,0,Buckeye,Akron,7,Lima,8,,1:48,,,transcript/1915/1915-LDN/boxes/BUCK-19150623.txt,"Lima Daily News, June 24, 1915",1,2,0,1,0,0,1,1,1,,,,,,,,0,0,1,0,1,3,2,0,1,,,,,,,
e9df5aa9-df17-5dd2-89d1-ba4a2d3cd079,1915-06-23,1,Buckeye,Findlay,5,Newark,3,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150623.txt,"Lima Daily News, June 24, 1915",1,0,2,1,0,0,1,0,0,,,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,
