game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,McClosky,,Findlay,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,McGivern,,Findlay,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Findlay,,,,7,,10,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,Weitel,,Newark,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,Dillon,,Newark,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,Strawn,,Newark,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLRFLDY,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Newark,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Long [if],,Akron,3b-p,1,4,0,,1,,,,,,,,,1,,,,,3,,,,10,2,,1,,,1,3,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Huck,,Akron,3b,10,2,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Byatt,,Akron,cf,2,5,1,,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Jaekel,,Akron,lf,3,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Glennon,,Akron,1b,4,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,8,0,1,1,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Clark [Akr],,Akron,2b,5,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Talbott,,Akron,c-rf,6,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,5,1,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Fields,,Akron,rf-c,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,1,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Newnham,,Akron,ss,8,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,2,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,McKee,,Akron,p,9,2,1,,1,,1,,,,,,,,,,,,5,,,,13,4,4,,,,0,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Akron,,,37,4,,7,,,,,,,,,,,,7,5,,,,,,,,,,,24,12,3,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Matthews,,Lima,rf,1,4,3,,2,1,,,,,,1,,,,,,,,,,,,,,,,,3,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Bond,,Lima,p,10,1,0,,1,,,,,,,,,,,,,,1,,,,1,,,,,,0,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Murray,,Lima,2b,2,4,2,,2,,,,,,,,2,,,,,,,,,,,,,,,,2,6,0,1,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Malloy,,Lima,cf,3,6,3,,4,1,,,,,,,,,1,,,,,,,,,,,,,,1,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Schweitzer,,Lima,lf,4,4,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,3,0,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,McClelland,,Lima,1b,5,6,3,,4,1,,,,,,,,,2,,,,,,,,,,,,,,13,0,1,1,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Cronin,,Lima,ss,6,5,3,,3,,1,,,,,,,,2,,,,,,,,,,,,,,1,2,4,1,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Warden,,Lima,3b,7,5,2,,3,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Maroney,,Lima,c,8,5,1,,2,2,,,,,,,,1,,,,,,,,,,,,,,,3,1,0,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,Clark [Lim],,Lima,p,9,5,1,,1,,,,,,,,,,,,,,8,,,,6,,3,,,,1,1,1,,,,
MPKJXTS,1915,Buckeye League,1915-05-23,0,regular,TOTALS,,Lima,,,45,20,,23,,,,,,,,,,,,11,3,,,,,,,,,,,27,12,6,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Patton,,Canton,3b,1,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Prout,,Canton,2b,2,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,1,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Curtis,,Canton,cf,3,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Munday,,Canton,1b,4,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,2,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Day,,Canton,lf,5,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Allison,,Canton,rf,6,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Johnson,,Canton,ss,7,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,2,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Kirby,,Canton,c,8,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,5,0,1,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,McLaughlin,,Canton,p,9,3,0,,1,1,,,,,,,,,,,,,,,,,,2,5,,,,0,3,0,1,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,TOTALS,,Canton,,,31,0,,5,,,,,,,,,,,,,,,,,,,,,,,,27,17,2,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Matthews,,Lima,rf,1,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Murray,,Lima,2b,2,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Malloy,,Lima,cf,3,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Schweitzer,,Lima,lf,4,4,1,,3,1,,,,,,,1,,2,,,,,,,,,,,,,,6,0,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,McClelland,,Lima,1b,5,5,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,6,0,0,1,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Cronin,,Lima,ss,6,3,0,,1,1,,,,,,2,,,,,,,,,,,,,,,,,2,3,0,1,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Warden,,Lima,3b,7,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Maroney,,Lima,c,8,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,Clark,,Lima,p,9,4,1,,2,,,,,,,,,,,,,,,,,,,2,8,,,,0,0,0,,,,
GQVQFXQ,1915,Buckeye League,1915-05-27,0,regular,TOTALS,,Lima,,,38,7,,13,,,,,,,,,,,,,,,,,,,,,,,,27,7,0,,,,
PDDKRHY,1915,Buckeye League,1915-05-27,0,regular,Linne,,Akron,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDDKRHY,1915,Buckeye League,1915-05-27,0,regular,Hook,,Akron,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDDKRHY,1915,Buckeye League,1915-05-27,0,regular,Talbott,,Akron,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
