game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P3043282,Wynne,,Spartanburg,2b,2,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,2,7,1,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P5198759,Springs,,Spartanburg,3b,3,5,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P1699175,Walker,,Spartanburg,lf,4,4,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P5298514,Fairbanks,,Spartanburg,cf,5,5,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P0547382,Gardin,,Spartanburg,rf,6,5,0,,3,,,,,,,,,,1,,,,,,,,,,,,,,,2,0,0,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P8976397,Bullock,,Spartanburg,1b,7,5,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,13,0,1,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P4845693,Harrington,,Spartanburg,c,8,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,,,2,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,P6028540,Abercrombie,,Spartanburg,p,9,5,0,,1,1,,,,,,,,,,,,,,,,,,,7,4,,,,0,6,1,,,,
YRRDMGN,1910,Carolina Association,1910-05-11,0,regular,,TOTALS,,Spartanburg,,,41,3,2,13,,,,,,,,,,,,10,,,,,,,,,,,,,29,19,6,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P5374085,Wehrell,,Anderson,cf,1,4,0,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
DJDZYBM,1910,Carolina Association,1910-05-12,0,regular,P4223045,Corbett,,Anderson,2b,2,4,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,3,0,,,,
