key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19
GCFPPLC,1915-05-20,0,New York State,regular,,Syracuse,1,,Binghamton,4,,,1:55,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 21, 1915",1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,3,0,x,,,,,,,,,,
QCYFLST,1915-05-20,0,New York State,regular,,Utica,0,,Elmira,2,,,1:12,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 21, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,0,1,0,x,,,,,,,,,,
WMNYZHS,1915-05-20,0,New York State,regular,,Wilkes-Barre,4,,Scranton,5,,,1:50,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 21, 1915",1,0,0,0,0,0,0,3,0,,,,,,,,,,,1,0,0,0,0,0,1,3,x,,,,,,,,,,
JGRHDSL,1915-05-20,0,New York State,regular,,Albany,4,,Troy,5,,,1:40,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 21, 1915",0,0,1,0,0,2,0,1,0,,,,,,,,,,,0,4,1,0,0,0,0,0,x,,,,,,,,,,
BXWGNBJ,1915-05-21,0,New York State,regular,,Troy,,,Albany,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMGJBJD,1915-05-21,0,New York State,regular,,Utica,,,Binghamton,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVJGRRN,1915-05-21,0,New York State,regular,,Syracuse,,,Elmira,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRHPZYK,1915-05-21,0,New York State,regular,,Scranton,,,Wilkes-Barre,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 22, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVPCZGK,1915-05-22,0,New York State,regular,,Utica,2,,Binghamton,10,,,,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 24, 1915",0,0,0,2,0,0,0,0,0,,,,,,,,,,,2,0,0,3,0,0,4,1,x,,,,,,,,,,
QXHKKHP,1915-05-22,0,New York State,regular,,Syracuse,3,,Elmira,10,,,2:04,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150520.txt,"Elmira Star-Gazette, May 24, 1915",0,2,1,0,0,0,0,0,0,,,,,,,,,,,3,4,0,0,0,1,0,2,x,,,,,,,,,,
