key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
TSCRSLY,1911-05-08,0,Central,regular,,Evansville,3,,Fort Wayne,6,,,2:05,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,1,0,1,0,0,1,0,,,,,,,,,,0,2,2,1,1,0,0,0,x,,,,,,,,,
FCBXMGZ,1911-05-08,0,Central,regular,,Wheeling,5,,Grand Rapids I,3,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,4,0,0,0,0,0,1,0,0,,,,,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,,,
YXWJQLJ,1911-05-08,0,Central,regular,,Zanesville,4,,South Bend I,5,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,1,3,0,0,0,0,,,,,,,,,,0,1,0,1,0,0,1,2,x,,,,,,,,,
LLFDHMZ,1911-05-09,0,Central,regular,,Terre Haute,2,,Dayton,8,,,1:55,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,0,0,0,0,1,0,0,,,,,,,,,,2,0,0,4,0,2,0,0,x,,,,,,,,,
FHRSNTN,1911-05-09,0,Central,regular,,Evansville,3,,Fort Wayne,2,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,1,1,0,0,0,0,0,,,,,,,,,,0,0,1,1,0,0,0,0,0,,,,,,,,,
FXBRGPR,1911-05-09,0,Central,regular,,Wheeling,5,,Grand Rapids I,4,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,2,0,0,3,0,0,0,0,0,,,,,,,,,,2,0,0,1,0,0,0,1,0,,,,,,,,,
PZLDHPG,1911-05-09,0,Central,regular,,Zanesville,0,,South Bend I,1,,,1:34,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,1,0,x,,,,,,,,,
KWTCFFH,1911-05-10,0,Central,regular,,Terre Haute,5,,Dayton,10,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,3,0,0,0,0,0,1,1,0,,,,,,,,,,1,0,2,3,2,2,0,0,x,,,,,,,,,
JNSCHNG,1911-05-10,0,Central,regular,,Evansville,3,,Fort Wayne,7,,,2:10,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,3,0,0,0,0,0,0,,,,,,,,,,1,1,0,1,1,2,0,1,x,,,,,,,,,
DTSGGCX,1911-05-10,0,Central,regular,,Wheeling,1,,Grand Rapids I,2,,,1:20,,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,1,0,0,0,0,x,,,,,,,,,
