key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
c6dbd20a-c970-57dd-851e-74aabf101e76,1911-05-05,0,Central,,Terre Haute,2,,Fort Wayne,6,,,2:00,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,Sporting Life Vol 57 Number 10 page 19,0,0,0,2,0,0,0,0,0,,,,,,,,,,0,3,0,1,0,2,0,0,x,,,,,,,,,
d5831596-ae22-5e95-bc78-abda27789dda,1911-05-05,0,Central,,Zanesville,1,,Grand Rapids I,2,,,1:30,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,2,,,,,,,,,
424e506e-5fd7-54ab-8c47-424bb4afc42b,1911-05-05,0,Central,,Wheeling,2,,South Bend I,4,,,2:00,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,2,0,0,0,0,0,,,,,,,,,,0,0,1,0,0,0,0,3,x,,,,,,,,,
d91b4d42-76eb-57e0-886b-8639c4a09a36,1911-05-06,0,Central,,Evansville,3,,Dayton,2,,,2:05,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,2,1,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,2,0,0,,,,,,,,,
9ff7fc6a-e5c9-593b-af69-54db47dc63df,1911-05-06,0,Central,,Terre Haute,4,,Fort Wayne,5,,,2:05,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,1,0,0,1,1,1,,,,,,,,,,0,0,0,2,0,0,0,3,x,,,,,,,,,
2526884c-8ad6-5982-8c40-0cbcad174993,1911-05-06,0,Central,,Zanesville,8,,Grand Rapids I,1,,,1:35,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,1,0,0,0,0,0,4,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,,
1f401e5e-6ff0-534d-93e1-15492c3d8897,1911-05-06,0,Central,,Wheeling,0,,South Bend I,3,,,1:35,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,1,0,0,0,2,0,0,x,,,,,,,,,
568bce89-4e2a-5def-8c0d-ed2fd575b273,1911-05-07,0,Central,,Evansville,3,,Dayton,5,,5000,2:00,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,Sporting Life Vol 57 Number 11 page 19,0,0,2,0,0,1,0,0,0,,,,,,,,,,0,0,1,0,4,0,0,0,x,,,,,,,,,
95f4423e-1233-5ed4-8dad-5876c6fcba1c,1911-05-07,0,Central,,Terre Haute,11,,Fort Wayne,10,,,3:05,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,2,0,0,0,0,2,2,2,2,0,1,,,,,,,,0,1,0,1,3,0,1,3,1,0,0,,,,,,,
f1c2d1b8-0143-568f-9104-9471beff990e,1911-05-07,0,Central,,Zanesville,9,,Grand Rapids I,5,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,2,4,0,0,0,0,0,3,,,,,,,,,,0,0,2,1,0,2,0,0,0,,,,,,,,,
217d28f8-208d-5ced-aa5a-b9921617f1f7,1911-05-07,0,Central,,Wheeling,4,,South Bend I,1,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,4,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,
ce23d560-e6be-500e-a8b1-045040843a50,1911-05-08,0,Central,,Terre Haute,1,,Dayton,6,,,1:55,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,1,0,0,0,,,,,,,,,,0,3,0,1,1,0,1,0,x,,,,,,,,,
a53c5bdf-540b-5b28-b8fb-2ed678d4af4f,1911-05-08,0,Central,,Evansville,3,,Fort Wayne,6,,,2:05,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,1,0,1,0,0,1,0,,,,,,,,,,0,2,2,1,1,0,0,0,x,,,,,,,,,
6b9dd9e8-855f-572d-84ac-449ffb605ffe,1911-05-08,0,Central,,Wheeling,5,,Grand Rapids I,3,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,4,0,0,0,0,0,1,0,0,,,,,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,,,
f5d41f1f-4a30-5fdf-8785-c19355fef777,1911-05-08,0,Central,,Zanesville,4,,South Bend I,5,,,2:00,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,1,3,0,0,0,0,,,,,,,,,,0,1,0,1,0,0,1,2,x,,,,,,,,,
376560a5-39df-5d88-91f4-8faf65bf10d3,1911-05-09,0,Central,,Terre Haute,2,,Dayton,8,,,1:55,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,0,0,0,0,1,0,0,,,,,,,,,,2,0,0,4,0,2,0,0,x,,,,,,,,,
a15d4fd7-25fe-5750-869e-189add672dc5,1911-05-09,0,Central,,Evansville,3,,Fort Wayne,2,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,1,0,1,1,0,0,0,0,0,,,,,,,,,,0,0,1,1,0,0,0,0,0,,,,,,,,,
3b8e24ad-e1ac-5d63-a0d4-ff7981c84898,1911-05-09,0,Central,,Wheeling,5,,Grand Rapids I,4,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,2,0,0,3,0,0,0,0,0,,,,,,,,,,2,0,0,1,0,0,0,1,0,,,,,,,,,
2161206c-6e02-559e-9ada-1dc7301b07ed,1911-05-09,0,Central,,Zanesville,0,,South Bend I,1,,,1:34,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,1,0,x,,,,,,,,,
935c9108-8ada-5d42-b667-5930bded49b3,1911-05-10,0,Central,,Terre Haute,5,,Dayton,10,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,3,0,0,0,0,0,1,1,0,,,,,,,,,,1,0,2,3,2,2,0,0,x,,,,,,,,,
2dab835d-5910-53f9-9282-d6f639b5aaff,1911-05-10,0,Central,,Evansville,3,,Fort Wayne,7,,,2:10,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,3,0,0,0,0,0,0,,,,,,,,,,1,1,0,1,1,2,0,1,x,,,,,,,,,
de03d8c8-339f-53a3-b2c9-8212110abebe,1911-05-10,0,Central,,Wheeling,1,,Grand Rapids I,2,,,1:20,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,1,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,1,0,0,0,0,x,,,,,,,,,
3db91342-8a3b-543b-8797-f10fa0478ac0,1911-05-10,0,Central,,Zanesville,0,,South Bend I,1,,,1:55,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,0,0,0,x,,,,,,,,,
f73ec3a3-5d3b-5fc1-9f5b-90395d204bb7,1911-05-11,0,Central,,Terre Haute,1,,Dayton,3,,,1:25,,,,transcript/1911/1911-SL/boxes/CENL-19110507.txt,,0,0,0,1,0,0,0,0,0,,,,,,,,,,0,2,1,0,0,0,0,0,x,,,,,,,,,
