key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
1213db9a-bec3-5a5f-b899-a8a2b1e193fc,1915-05-20,0,Rio Grande Association,,El Paso,14,,Douglas,5,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 21, 1915",0,0,6,1,2,0,2,3,0,,,,,1,0,1,1,0,0,0,1,1,,,,
8d62ed4b-d75d-5181-9e0e-af1c277dfd55,1915-05-20,0,Rio Grande Association,,Phoenix,4,,Las Cruces,3,,,1:40,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 21, 1915",1,0,0,1,1,0,0,1,0,,,,,0,0,0,0,0,2,0,0,1,,,,
99c3cef6-bac5-56c1-8338-8cfec92cf88b,1915-05-20,0,Rio Grande Association,,Albuquerque,12,,Tucson,14,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 21, 1915",7,0,0,0,3,2,0,0,0,,,,,1,3,5,0,0,1,4,0,x,,,,
f0dc6cd5-1d8f-5c6a-8ffa-c985180700ce,1915-05-21,0,Rio Grande Association,,El Paso,16,,Douglas,5,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 22, 1915",3,1,7,1,3,0,0,1,0,,,,,2,0,0,2,0,0,1,0,0,,,,
94e03978-5a7f-5438-9aa3-0367fd1db109,1915-05-21,0,Rio Grande Association,,Phoenix,8,,Las Cruces,6,,,1:50,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 22, 1915",0,0,0,1,0,5,0,2,0,,,,,0,0,0,0,0,0,0,0,6,,,,
a4829d46-602a-51e7-9cda-a056945523fd,1915-05-21,0,Rio Grande Association,,Albuquerque,6,,Tucson,8,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 22, 1915",2,0,0,0,0,0,0,2,2,,,,,2,3,0,1,0,1,0,1,x,,,,
cfb13957-9ec1-55d8-ba37-508892a9a888,1915-05-22,0,Rio Grande Association,,El Paso,16,,Douglas,17,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 23, 1915",0,0,1,0,2,4,0,7,2,0,,,,3,0,4,4,0,3,0,2,0,1,,,
ed29ca41-441b-5ac0-a49a-d8939ea2a815,1915-05-22,0,Rio Grande Association,,Phoenix,7,,Las Cruces,2,,,1:58,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 23, 1915",0,1,0,0,3,2,0,0,1,,,,,0,0,0,0,0,2,0,0,0,,,,
ce494473-ec1c-5329-8c04-f7df35c27ebd,1915-05-22,0,Rio Grande Association,,Albuquerque,8,,Tucson,2,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 23, 1915",0,1,0,2,0,0,3,1,1,,,,,1,1,0,0,0,0,0,0,0,,,,
e0c9e4b5-11e0-540f-9bbe-38534e87ff66,1915-05-23,0,Rio Grande Association,,El Paso,4,,Douglas,8,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 24, 1915",0,0,0,0,0,1,0,1,2,,,,,0,4,0,2,0,2,0,0,0,,,,
74203060-65a0-587c-9815-d22857834e71,1915-05-23,1,Rio Grande Association,,Phoenix,8,,Las Cruces,2,,850,1:45,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 24, 1915",0,0,0,0,0,2,0,2,4,,,,,0,0,0,0,0,0,0,1,1,,,,
3818f1c5-d918-5e1f-95f2-938af5d00485,1915-05-23,2,Rio Grande Association,,Phoenix,5,,Las Cruces,6,,,1:21,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 24, 1915",4,1,0,0,0,0,0,,,,,,,0,2,1,0,3,0,x,,,,,,
1946949e-c498-56c2-968a-69fe53b75728,1915-05-23,0,Rio Grande Association,,Albuquerque,7,,Tucson,4,,,,,,,transcript/1915/1915-AR/boxes/AR-19150517.txt,"Arizona Republic, May 24, 1915",0,1,1,0,0,2,3,0,0,,,,,0,1,0,3,0,0,0,0,0,,,,
877d41f2-2648-5ef3-b766-434d7918f898,1915-05-25,0,Rio Grande Association,,Albuquerque,3,,Phoenix,7,,,1:40,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 26, 1915",0,1,1,0,1,0,0,0,0,,,,,0,0,0,0,0,2,4,1,x,,,,
bad6b889-4be0-5462-aa30-3ca4472a7463,1915-05-25,0,Rio Grande Association,,El Paso,4,,Tucson,8,,,,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 26, 1915",0,2,0,0,1,4,1,0,0,,,,,3,0,2,0,0,1,1,0,0,,,,
e7e13726-26c7-53cc-8afa-1aa0c89b52f4,1915-05-26,0,Rio Grande Association,,Albuquerque,9,,Phoenix,6,,,2:20,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 27, 1915",2,0,3,0,2,0,0,0,2,,,,,2,0,0,2,0,1,1,0,0,,,,
d2213665-bcb1-570e-a477-96b5e9e77b5b,1915-05-26,0,Rio Grande Association,,El Paso,5,,Tucson,4,,,,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 27, 1915",0,2,0,0,2,0,0,0,1,,,,,0,0,0,0,0,2,2,0,0,,,,
fc786801-b17c-57cb-8c54-cfecd9362c2d,1915-05-27,0,Rio Grande Association,,Albuquerque,5,,Phoenix,4,,,2:40,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 28, 1915",0,0,0,0,3,0,0,0,1,0,0,1,,0,2,0,2,0,0,0,0,0,0,0,0,
72d8d2d6-d772-5b65-bab9-70e745c9a806,1915-05-27,0,Rio Grande Association,,El Paso,2,,Tucson,6,,,,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 28, 1915",0,0,0,0,2,0,0,0,0,,,,,3,2,0,1,0,0,0,0,x,,,,
34c21c00-629d-5078-aa86-2aa67fe06c52,1915-05-28,0,Rio Grande Association,,Albuquerque,5,,Phoenix,6,,400,2:50,,,,transcript/1915/1915-AR/boxes/AR-19150524.txt,"Arizona Republic, May 29, 1915",3,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,3,0,0,1,
