key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
a7dd9ccd-e248-55cb-9fe9-1a171e01e720,1908-04-16,0,Southern Association,,Little Rock,,,Memphis,,,,,,postponed,rain,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 17, 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61ff3dcc-8c1a-5a33-adbf-012aab80e6bf,1908-04-16,0,Southern Association,,Birmingham,1,,Montgomery,6,,,,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 17, 1908",0,1,0,0,0,0,0,0,0,,,,,,,,0,2,4,0,0,0,0,0,x,,,,,,,
d33c88fb-5b56-57bb-9aae-4b556a80b8e5,1908-04-16,0,Southern Association,,Mobile,5,,New Orleans,1,,,,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 17, 1908",0,5,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0,0,0,0,,,,,,,
00303bbe-24bc-5859-9b6a-c4373aad9a07,1908-04-17,0,Cotton States,,Meridian,1,,Columbus,5,,,1:45,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 18, 1908",1,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,4,0,1,0,0,x,,,,,,,
6f3926b0-819a-5897-9ca8-bc99c89b0f0f,1908-04-17,0,Cotton States,,Jackson,3,,Monroe,5,,,2:00,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 18, 1908",0,0,2,0,1,0,0,0,0,,,,,,,,0,0,3,2,0,0,0,0,0,,,,,,,
6857a262-7928-555a-9e63-144f83fc27e0,1908-04-17,0,Cotton States,,Gulfport,5,,Vicksburg,0,,,,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 18, 1908",2,1,1,0,0,0,1,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
a8c5e9ad-9fe7-5c9b-95c2-6d32e7f10b89,1908-04-17,0,Southern Association,,Nashville,3,,Atlanta,0,,,1:55,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 18, 1908",0,0,0,2,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
e4f34601-b77d-5931-98d6-b067952e46ce,1908-04-17,0,Southern Association,,Little Rock,1,,Memphis,3,,,1:55,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 18, 1908",0,0,0,1,0,0,0,0,0,,,,,,,,0,0,0,0,3,0,0,0,x,,,,,,,
4c1cb4e0-0436-5d5d-8093-577712227620,1908-04-17,0,Southern Association,,Birmingham,1,,Montgomery,2,,,1:40,,,,transcript/1908/1908-MCA/boxes/SOUA-19080415.txt,"(Memphis) Commercial Appeal, April 18, 1908",0,0,0,1,0,0,0,0,0,,,,,,,,1,0,0,0,1,0,0,0,x,,,,,,,
6173f4ed-13d1-5825-99a8-901638128d9b,1908-04-18,0,Cotton States,,Meridian,2,,Columbus,0,,,1:33,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 19, 1908",0,0,0,2,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
64d84117-7da9-5577-80dd-3973ea8bdd14,1908-04-18,0,Cotton States,,Jackson,6,,Monroe,5,,,1:40,,,,transcript/1908/1908-MCA/boxes/CSTL-19080413.txt,"(Memphis) Commercial Appeal, April 19, 1908",1,0,0,0,0,0,0,0,5,,,,,,,,0,0,1,1,0,1,0,2,0,,,,,,,
