key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,away.score.20,away.score.21,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19,home.score.20,home.score.21
MGMYSHP,1915-08-09,0,North Carolina State,regular,,Greensboro,2,,Charlotte,5,,500,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 10, 1915",0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,2,0,0,0,0,0,0,3,x,,,,,,,,,,,,
QPWMXQF,1915-08-09,0,North Carolina State,regular,,Durham,1,,Raleigh,0,,600,1:32,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 10, 1915",0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
RMFTHML,1915-08-09,0,North Carolina State,regular,,Asheville,5,,Winston-Salem,8,,400,2:00,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 10, 1915",0,0,0,2,1,1,0,0,1,,,,,,,,,,,,,1,0,0,0,0,0,3,4,x,,,,,,,,,,,,
LTCBQKB,1915-08-10,0,North Carolina State,regular,,Greensboro,1,,Charlotte,4,,600,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 11, 1915",1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,3,0,0,1,0,0,x,,,,,,,,,,,,
YTBYZMY,1915-08-10,0,North Carolina State,regular,,Durham,3,,Raleigh,4,,3250,1:50,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 11, 1915",0,0,0,0,0,1,0,0,2,,,,,,,,,,,,,0,0,1,0,0,0,0,0,3,,,,,,,,,,,,
NCCFJPR,1915-08-10,0,North Carolina State,regular,,Asheville,3,,Winston-Salem,2,,500,1:37,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 11, 1915",0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,
FPSFCSY,1915-08-11,0,North Carolina State,regular,,Greensboro,,,Charlotte,,,,,,postponed,rain,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJQMHGX,1915-08-11,0,North Carolina State,regular,,Durham,0,,Raleigh,7,,500,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 12, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,2,0,3,2,0,0,0,x,,,,,,,,,,,,
PNVBBHD,1915-08-11,0,North Carolina State,regular,,Asheville,7,,Winston-Salem,7,,400,1:42,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150805.txt,"Charlotte Daily Observer, August 12, 1915",2,0,0,0,1,3,1,0,0,,,,,,,,,,,,,0,1,0,1,1,0,3,1,0,,,,,,,,,,,,
DNKTKRC,1915-08-12,0,North Carolina State,regular,,Asheville,0,,Charlotte,16,,750,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 13, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,9,0,3,2,0,0,x,,,,,,,,,,,,
VMLQHBH,1915-08-12,0,North Carolina State,regular,,Winston-Salem,3,,Durham,4,,500,2:00,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 13, 1915",0,0,0,0,1,2,0,0,0,,,,,,,,,,,,,2,0,1,0,0,0,0,0,1,,,,,,,,,,,,
JDDYXRH,1915-08-12,0,North Carolina State,regular,,Raleigh,0,,Greensboro,9,,400,1:48,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 13, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,2,3,1,3,0,0,x,,,,,,,,,,,,
RPCHBNK,1915-08-13,0,North Carolina State,regular,,Asheville,3,,Charlotte,4,,900,2:15,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 14, 1915",0,0,1,2,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,2,1,0,0,0,1,,,,,,,,,
GVFHLDG,1915-08-13,0,North Carolina State,regular,,Winston-Salem,17,,Durham,7,,550,2:10,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 14, 1915",2,0,2,0,6,1,0,6,0,,,,,,,,,,,,,3,0,0,0,0,2,0,2,0,,,,,,,,,,,,
KMCHLZZ,1915-08-13,0,North Carolina State,regular,,Raleigh,0,,Greensboro,2,,500,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 14, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,0,0,0,0,0,0,0,x,,,,,,,,,,,,
DBYSYHS,1915-08-14,0,North Carolina State,regular,,Asheville,3,,Charlotte,7,,950,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 15, 1915",0,0,0,2,0,1,0,0,,,,,,,,,,,,,,0,1,1,0,3,0,0,2,,,,,,,,,,,,,
ZBJYGTC,1915-08-14,0,North Carolina State,regular,,Winston-Salem,2,,Durham,6,,600,1:25,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 15, 1915",0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,0,0,2,2,2,0,0,0,x,,,,,,,,,,,,
HGDZDLN,1915-08-14,0,North Carolina State,regular,,Raleigh,0,,Greensboro,2,,1000,1:13,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 15, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,1,0,0,0,0,0,0,x,,,,,,,,,,,,
PBXPMSC,1915-08-16,0,North Carolina State,regular,,Greensboro,1,,Asheville,7,,638,1:40,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 17, 1915",0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,4,0,1,0,1,0,1,0,x,,,,,,,,,,,,
QXLXFVT,1915-08-16,0,North Carolina State,regular,,Charlotte,2,,Durham,3,,750,1:30,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 17, 1915",0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,0,0,0,0,0,0,1,0,2,,,,,,,,,,,,
MXTVNPQ,1915-08-16,0,North Carolina State,regular,,Winston-Salem,4,,Raleigh,3,,400,1:45,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 17, 1915",0,2,0,0,0,0,0,0,2,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,,,,,,,,,,,,
XYBDNSK,1915-08-17,0,North Carolina State,regular,,Greensboro,0,,Asheville,2,,545,1:42,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 18, 1915",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,1,1,0,0,0,0,x,,,,,,,,,,,,
CTZNCHB,1915-08-17,0,North Carolina State,regular,,Charlotte,5,,Durham,3,,550,1:55,,,,,transcript/1915/1915-CDO/boxes/NCSL-19150812.txt,"Charlotte Daily Observer, August 18, 1915",0,2,0,0,2,0,0,0,1,,,,,,,,,,,,,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,
