game.key,game.date,game.number,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_LOB,B_ROE,P_IP,P_R,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB
30535ff6-061f-550d-a68e-19c650f14b2c,1915-05-11,0,TOTALS,,Fort William-Port Arthur,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Brammell,,Duluth,rf,1,4,0,,1,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Leahy,,Duluth,p,10,0,0,,0,,,,,,,,,,,,,1,,1,,,,,,0,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Boley,,Duluth,ph,11,0,1,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Croake,,Duluth,1b,2,5,1,,1,,,,,,,,,,,,,,,,,,,,,6,1,1,1,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Collins,,Duluth,3b,3,5,1,,1,,,,,,,,,,,,,,,,,,,,,1,3,1,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Williams,,Duluth,cf,4,5,2,,2,,,,,,,,,,,,,,,,,,,,,2,1,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Wolfe,,Duluth,ss,5,5,1,,3,2,,,,,,,,,,,,,,,,,,,,4,2,0,1,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,Ford,,Duluth,lf,6,4,0,,2,,,,,,,,,,,,,,,,,,,,,0,1,0,,,
3c43bb46-8211-54c3-b55a-2a0fe8803111,1915-05-11,0,O'Brien,,Duluth,2b,7,4,0,,0,,,,,,,,,,,,,,,,,,,,,2,3,0,1,,
